,,,,PASSENGER SKD,,,
,,,,Model,Model,Emission,Total
V6242029,STAGE III,EAGLE 1016 BS5 4.2M 4X2 H6E5SD123-165HP(SCR)-CB18 S5.36OD A36 RS120-4.1 SS COWL 235/75R17.5TY [BOGDAN] [SKD] W/O FSM,182,Eagle,1016,BS5,182
V6242032,STAGE III,EAGLE 1016 BS5 4.2M 4X2 H6E5SD123-165HP(SCR)-CB18 S5.36OD A36 RS120-4.1 SS COWL 235/75R17.5TY [UKRAINE] [SKD],96,Eagle,1016,BS5,96
V6242041,STAGE III,OYSTER E4 LHD /160HP /5-36OD GB /RS120- 4.1 / A48 / 235/75R17.5TY / HVAC [SKD] [AC],912,Oyster,,BS4,912
V6242031,STAGE III,OYSTER E3 LHD 160HP-CB18 S5.36OD A48 RS120-4.1 225/75 R17.5TY [AC] [SKD] [GCC RAK],390,Oyster,,BS3,390
V6246001,STAGE II,OYSTER E4 4600WB LHD 160HP CRS ENGINE WITH CB18 FIE SYSTEM / HVAC CHASSIS MOUNTED TM43 AC COMPRESSOR / ZF 5-36 OD GEAR BOX / SPL070 SERIES PROPELLER SHAFT / RS 120 WITH 4.1 RAR / FRONT AXLE - A48 BEAM WITH A36 WHEEL ENDS / ABS WITH ASA / 235/75 R17.5 TUBELESS TYRE FOR UAE MARKET. / SKD KIT,390,Oyster,,BS4,390
V6242214,STAGE III,Oyster 4X2 bus LHD / 4200 WB / H6 167Hp CB18 SCR Euro V / 380 mm diameter clutch / ZF 5S 36 OD GB / Meritor RS 120 RAR 4.10 / A48 / 235/75 R 17.5 tubeless tyre / Multi leaf parabolic suspension / ZF P. STG / ABS / 185L metal fuel tank / BIL retarder / KSA / SASO [SKD],30,Oyster,4 X 2,BS5,30
V6242217,STAGE III,Oyster 4X2 bus LHD / 4200 WB / H6 167Hp CB18 SCR Euro V / 380 mm diameter clutch / ZF 5S 36 OD GB / Meritor RS 120 RAR 4.10 / A48 front axle beam A36 wheel ends / 235/75 R 17.5 tubeless tyre / Multi leaf parabolic suspension / ZF P. STG / ABS / 185L metal fuel tank / QATAR / SKD,360,Oyster,4 X 2,BS5,360
V4156847,STAGE III,222 WB VIKING H6 180HP IL BSIII ENGINE ZF S6.36 SS RS145-5.29 10R20TY [BANGLADESH] [SKD],216,Viking,222,BS3,240
